Team,Projected_Rank,Actual_Rank,Expected_Points,Actual_Points
Arsenal,2,1,73.6,85
Man City,3,2,72.8,78
Man United,12,3,50.2,71
Aston Villa,9,4,54.6,65
Liverpool,1,5,77.3,60
Bournemouth,7,6,55.6,57
Sunderland,19,7,34.2,54
Brighton,6,8,55.9,53
Brentford,8,9,55.3,53
Chelsea,5,10,61.6,52
Fulham,13,11,49.3,52
Newcastle,4,12,62.8,49
Everton,14,13,47.4,49
Leeds,18,14,38.1,47
Crystal Palace,10,15,53.7,45
Nott'm Forest,15,16,46.5,44
Tottenham,11,17,51.7,41
West Ham,16,18,41.9,39
Burnley,20,19,33.5,22
Wolves,17,20,38.5,20
