Projected_Rank,Team,Expected_Points,Expected_GD,Expected_Position,P_Title,P_Top4,P_Relegation,Promoted_No_PL_History
1,Arsenal,77.5,39.0,1.82,0.505,0.9689,0.0,False
2,Man City,75.5,37.6,2.15,0.3706,0.941,0.0,False
3,Liverpool,67.5,24.5,4.0,0.0855,0.7012,0.0,False
4,Chelsea,58.4,9.7,7.51,0.0083,0.2368,0.0036,False
5,Man United,58.2,9.4,7.56,0.0082,0.2324,0.0034,False
6,Brighton,57.0,7.5,8.14,0.0058,0.1863,0.0049,False
7,Brentford,56.6,6.8,8.34,0.0045,0.1736,0.0054,False
8,Newcastle,56.5,6.5,8.4,0.0046,0.1686,0.0062,False
9,Bournemouth,55.1,4.7,9.05,0.0034,0.13,0.0075,False
10,Aston Villa,52.9,1.0,10.18,0.002,0.0806,0.0176,False
11,Leeds,51.8,-0.4,10.75,0.001,0.0578,0.023,False
12,Nott'm Forest,49.0,-4.7,12.13,0.0002,0.0282,0.05,False
13,Crystal Palace,48.8,-5.1,12.24,0.0004,0.0274,0.0548,False
14,Fulham,47.9,-6.3,12.65,0.0,0.0198,0.0635,False
15,Everton,47.8,-6.0,12.71,0.0001,0.0186,0.0653,False
16,Tottenham,46.9,-8.4,13.12,0.0002,0.0166,0.0813,False
17,Sunderland,46.3,-8.5,13.42,0.0,0.0121,0.0916,False
18,Hull,31.2,-34.8,18.54,0.0,0.0,0.8278,True
19,Coventry,31.1,-34.8,18.55,0.0,0.0,0.8312,True
20,Ipswich,30.2,-37.5,18.74,0.0,0.0,0.8631,False
